Code,Description,Category,Source,Notes,FilterTag,Module
P245F,Particulate Filter Pressure Sensor B Circuit Range/Performance,,,,,DPF
P200C,Diesel Particulate Filter Over Temperature Bank 1,,,,,DPF
P200D,Diesel Particulate Filter Over Temperature Bank 2,,,,,DPF
P203A,Reductant Level Sensor Circuit,,,,,SCR
P203B,Reductant Level Sensor Circuit Range/Performance,,,,,SCR
P203C,Reductant Level Sensor Circuit Low,,,,,SCR
P203D,Reductant Level Sensor Circuit High,,,,,SCR
P203E,Reductant Level Sensor Circuit Intermittent/Erratic,,,,,SCR
P203F,Reductant Level Too Low,,,,,SCR
P209C,Reductant Injection Air Pressure Sensor B Circuit Low,,,,,SCR
P209D,Reductant Injection Air Pressure Sensor B Circuit High,,,,,SCR
P209E,Reductant Injection Air Pressure Sensor A / B Correlation,,,,,SCR
P20A0,Reductant Purge Control Valve Circuit /Open,,,,,SCR
P20A1,Reductant Purge Control Valve Performance,,,,,SCR
P20A2,Reductant Purge Control Valve Circuit Low,,,,,SCR
P20A3,Reductant Purge Control Valve Circuit High,,,,,SCR
P20A4,Reductant Purge Control Valve Stuck Open,,,,,SCR
P20A5,Reductant Purge Control Valve Stuck Closed,,,,,SCR
P20B9,Reductant Heater A Control Circuit/Open,,,,,SCR
P20BA,Reductant Heater A Control Circuit Performance,,,,,SCR
P20BB,Reductant Heater A Control Circuit Low,,,,,SCR
P20BC,Reductant Heater A Control Circuit High,,,,,SCR
P20BD,Reductant Heater B Control Circuit/Open,,,,,SCR
P20BE,Reductant Heater B Control Circuit Performance,,,,,SCR
P20BF,Reductant Heater B Control Circuit Low,,,,,SCR
P20C0,Reductant Heater B Control Circuit High,,,,,SCR
P20C1,Reductant Heater C Control Circuit/Open,,,,,SCR
P20C2,Reductant Heater C Control Circuit Performance,,,,,SCR
P20C3,Reductant Heater C Control Circuit Low,,,,,SCR
P20C4,Reductant Heater C Control Circuit High,,,,,SCR
P20C5,Reductant Heater D Control Circuit/Open,,,,,SCR
P20C6,Reductant Heater D Control Circuit Performance,,,,,SCR
P20C7,Reductant Heater D Control Circuit Low,,,,,SCR
P20C8,Reductant Heater D Control Circuit High,,,,,SCR
P20EC,SCR NOx Catalyst - Over Temperature Bank 1,,,,,NOX
P20ED,SCR NOx Pre-Catalyst - Over Temperature Bank 1,,,,,NOX
P20EE,SCR NOx Catalyst Efficiency Below Threshold Bank 1,,,,,NOX
P20EF,SCR NOx Pre- Catalyst Efficiency Below Threshold Bank 1,,,,,NOX
P20F0,SCR NOx Catalyst - Over Temperature Bank 2,,,,,NOX
P20F1,SCR NOx Pre-Catalyst - Over Temperature Bank 2,,,,,NOX
P20F2,SCR NOx Catalyst Efficiency Below Threshold Bank 2,,,,,NOX
P20F3,SCR NOx Pre- Catalyst Efficiency Below Threshold Bank 2,,,,,NOX
P060E,Internal Control Module Throttle Position Performance,,,,,TVA
P022A,Charge Air Cooler Bypass Control A Circuit Open,,,,,VNT
P022B,Charge Air Cooler Bypass Control A Circuit Low,,,,,VNT
P022C,Charge Air Cooler Bypass Control A Circuit High,,,,,VNT
P022D,Charge Air Cooler Bypass Control B Circuit Open,,,,,VNT
P022E,Charge Air Cooler Bypass Control B Circuit Low,,,,,VNT
P022F,Charge Air Cooler Bypass Control B Circuit High,,,,,VNT
P023A,Charge Air Cooler Coolant Pump Control Circuit Open,,,,,VNT
P023B,Charge Air Cooler Coolant Pump Control Circuit Low,,,,,VNT
P023C,Charge Air Cooler Coolant Pump Control Circuit High,,,,,VNT
P023D,Manifold Absolute Pressure - Turbocharger/Supercharger Boost Sensor A Correlation,,,,,VNT
P023E,Manifold Absolute Pressure - Turbocharger/Supercharger Boost Sensor B Correlation,,,,,VNT
P023F,Fuel Pump Secondary Circuit/Open,,,,,VNT
P024A,Charge Air Cooler Bypass Control A Range/Performance,,,,,VNT
P024B,Charge Air Cooler Bypass Control A Stuck,,,,,VNT
P024C,Charge Air Cooler Bypass Position Sensor A Circuit,,,,,VNT
P024D,Charge Air Cooler Bypass Position Sensor A Circuit Range/Performance,,,,,VNT
P024E,Charge Air Cooler Bypass Position Sensor A Circuit Low,,,,,VNT
P024F,Charge Air Cooler Bypass Position Sensor A Circuit High,,,,,VNT
P02CA,Turbocharger/Supercharger B Overboost Condition,,,,,VNT
P02CB,Turbocharger/Supercharger B Underboost Condition,,,,,VNT
P010A,Mass or Volume Air Flow B Circuit,,,,,MAF
P010B,Mass or Volume Air Flow B Circuit Range/Performance,,,,,MAF
P010C,Mass or Volume Air Flow B Circuit Low,,,,,MAF
P010D,Mass or Volume Air Flow B Circuit High,,,,,MAF
P010E,Mass or Volume Air Flow B Circuit Intermittent/Erratic,,,,,MAF
P010F,Mass or Volume Air Flow Sensor A/B Correlation,,,,,MAF
P011C,Charge Air Temperature/Intake Air Temperature Correlation Bank 1,,,,,VNT
P011D,Charge Air Temperature/Intake Air Temperature Correlation Bank 2,,,,,VNT
P012A,Turbocharger/Supercharger Inlet Pressure Sensor Circuit (Downstream of throttle valve),,,,,VNT
P012B,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Range/Performance (Downstream of throttle valve),,,,,VNT
P012C,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Low (Downstream of throttle valve),,,,,VNT
P012D,Turbocharger/Supercharger Inlet Pressure Sensor Circuit High (Downstream of throttle valve),,,,,VNT
P012E,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Intermittent/Erratic (Downstream of throttle valve),,,,,VNT
