Code,Description,Category,Source
B1851,Climate Control Temperature Differential Circuit Short To,Body,OBD-II Standard
B1852,Climate Control Temperature Differential Circuit Short To,Body,OBD-II Standard
B1853,Climate Control Air Tempera ture Internal Sensor Motor Circuit,Body,OBD-II Standard
B1854,Climate Control Air Temperature Internal Sensor Motor Circuit,Body,OBD-II Standard
B1855,Climate Control Air Temperature Internal Sensor Motor Circuit,Body,OBD-II Standard
B1856,Climate Control Air Temperature Internal Sensor Motor Circuit,Body,OBD-II Standard
B1857,Climate Control On/Off Switch Circuit Failure,Body,OBD-II Standard
B1858,Climate Control A/C Pressure Switch Circuit Failure,Body,OBD-II Standard
B1859,Climate Control A/C Pressure Switch Circuit Open,Body,OBD-II Standard
B1860,Climate Control A/C Pressure Switch Circuit Short To Battery,Body,OBD-II Standard
B1861,Climate Control A/C Pressure Switch Circuit Short To Ground,Body,OBD-II Standard
B1862,Climate Control A/C Lock Sensor Failure,Body,OBD-II Standard
B1863,Ground ECU Circuit Open,Body,OBD-II Standard
B1864,Battery Power Supply ECU Circuit Failure,Body,OBD-II Standard
B1865,Battery Power Supply ECU Circuit Open,Body,OBD-II Standard
B1866,Battery Power Supply ECU Circuit Short To Battery,Body,OBD-II Standard
B1867,Battery Power Supply ECU Circuit Short To Ground,Body,OBD-II Standard
B1868,Lamp Air Bag Warning Indicator Circuit Failure,Body,OBD-II Standard
B1869,Lamp Air Bag Warning Indicator Circuit Open,Body,OBD-II Standard
B1870,Lamp Air Bag Warning Indicator Circuit Short To Battery,Body,OBD-II Standard
B1871,Passenger Air Bag Disable Module Fault,Body,OBD-II Standard
B1872,Turn Signal / Hazard Power Feed Circuit Short To Battery,Body,OBD-II Standard
B1873,Turn Signal / Hazard Power Feed Circuit Short To Ground,Body,OBD-II Standard
B1874,Cellular Phone Handset Not Present,Body,OBD-II Standard
B1875,Turn Signal / Hazard Switch Signal Circuit Failure,Body,OBD-II Standard
B1876,Seatbelt Driver Pretensioner Circuit Failure,Body,OBD-II Standard
B1877,Seatbelt Driver Pretensioner Circuit Open,Body,OBD-II Standard
B1878,Seatbelt Driver Pretensioner Circuit Short to Battery,Body,OBD-II Standard
B1879,Seatbelt Driver Pretensioner Circuit Short to Ground,Body,OBD-II Standard
B1880,Seatbelt Passenger Pretensioner Circuit Failure,Body,OBD-II Standard
B1881,Seatbelt Passenger Pretensioner Circuit Open,Body,OBD-II Standard
B1882,Seatbelt Passenger Pretensioner Circuit Short to Battery,Body,OBD-II Standard
B1883,Seatbelt Passeng er Pretensioner Circuit Short to Ground,Body,OBD-II Standard
B1884,PAD Warning Lamp Inoperative,Body,OBD-II Standard
B1885,Seatbelt Driver Pretensioner Circuit Resistance Low on Squib,Body,OBD-II Standard
B1886,Seatbelt Passenger Pretensioner Circuit Resistance Low on,Body,OBD-II Standard
B1887,Air Bag Driver Circuit Res istance Low or Shorted Together,Body,OBD-II Standard
B1888,Air Bag Passenger Circuit Resistance Low or Shorted Together,Body,OBD-II Standard
B1889,Passenger Airbag Disable Module Sensor Obstructed,Body,OBD-II Standard
B1890,PAD Warning Lamp Circuit Short to Battery,Body,OBD-II Standard
B1891,Air Bag Tone Warning Indicator Circ uit Short to Battery,Body,OBD-II Standard
B1892,Air Bag Tone Warning Indicator Circuit Failure,Body,OBD-II Standard
B1893,GPS Antenna Open Circuit,Body,OBD-II Standard
B1894,Wiper Rear Motor Speed Sense Circuit Failure,Body,OBD-II Standard
B1895,Driver's / Passenger's Door Ajar Output Circuit Failure,Body,OBD-II Standard
B1896,Driver's / Passen ger's Door Ajar Output Circuit Short to Battery,Body,OBD-II Standard
B1897,Horn Switch Circuit Failure,Body,OBD-II Standard
B1898,Chime Input #2 Circuit Short to Ground,Body,OBD-II Standard
B1899,Microphone Input Signal Circuit Open,Body,OBD-II Standard
B1900,Driver Side Airbag Fault,Body,OBD-II Standard
B1901,Air Bag Crash Sensor #1 Feed/Retur n Circuit Short To Ground,Body,OBD-II Standard
B1902,Air Bag Crash Sensor #1 Ground Circuit Failure,Body,OBD-II Standard
B1903,Air Bag Crash Sensor #1 Ground Circuit Short To Battery,Body,OBD-II Standard
B1904,Air Bag Crash Sensor #2 Feed/Return Circuit Failure,Body,OBD-II Standard
B1905,Air Bag Crash Sensor #2 Feed/Return Cir cuit Short To Battery,Body,OBD-II Standard
B1906,Air Bag Crash Sensor #2 Feed/Return Circuit Short To Ground,Body,OBD-II Standard
B1907,Air Bag Crash Sensor #2 Ground Circuit Failure,Body,OBD-II Standard
B1908,Air Bag Crash Sensor #2 Ground Circuit Short To Battery,Body,OBD-II Standard
B1909,Air Bag Crash Sensor #2 Ground Circ uit Short To Ground,Body,OBD-II Standard
B1910,Air Bag Diagnostic Monitor Ground Circuit Failure,Body,OBD-II Standard
B1911,Air Bag Diagnostic Monitor Ground Circuit Short To Battery,Body,OBD-II Standard
B1912,Air Bag Diagnostic Monitor Ground Circuit Short To Ground,Body,OBD-II Standard
B1913,Air Bag Driver/Passenger Circuit Short To Ground,Body,OBD-II Standard
B1914,Air Bag Crash Sensors #1 / #2 Circuit Short To Ground,Body,OBD-II Standard
B1915,Air Bag Driver Circuit Failure,Body,OBD-II Standard
B1916,Air Bag Driver Circuit Short To Battery,Body,OBD-II Standard
B1917,Air Bag Memory Clear Circuit Failure,Body,OBD-II Standard
B1918,Air Bag Memory Clear Circuit Open,Body,OBD-II Standard
B1919,Air Bag Memory Clear Circuit Short To Battery,Body,OBD-II Standard
B1920,Air Bag Passenger Circuit Failure,Body,OBD-II Standard
B1921,Air Bag Diagnostic Monitor Ground Circuit Open,Body,OBD-II Standard
B1922,Air Bag Safing Sensor Output Circuit Short To Battery,Body,OBD-II Standard
B1923,Air Bag Memory Clear Circuit Short To Ground,Body,OBD-II Standard
B1924,Air Bag Internal Diagnostic Monitor Fault or System Disarm,Body,OBD-II Standard
B1925,Air Bag Passenger Circuit Short To Battery,Body,OBD-II Standard
B1926,Air Bag Passenger Pressure Switch Circuit Failure,Body,OBD-II Standard
B1927,Passenger Side Airbag Fault,Body,OBD-II Standard
B1928,Air Bag S afing Sensor Output Circuit Failure,Body,OBD-II Standard
B1929,Air Bag Safing Sensor Output Circuit Open,Body,OBD-II Standard
B1930,Air Bag Safing Sensor Output Circuit Short To Ground,Body,OBD-II Standard
B1931,Air Bag Crash Sensor #1 Feed/Return Circuit Failure,Body,OBD-II Standard
B1932,Air Bag Driver Circuit Open,Body,OBD-II Standard
B1933,Air Bag Passenger Circuit Open,Body,OBD-II Standard
B1934,Air Bag Driver Inflator Circuit Resistance Low on Squib,Body,OBD-II Standard
B1935,Air Bag Passenger Inflator Circuit Resistance Low on Squib,Body,OBD-II Standard
B1936,Air Bag Driver Circuit Short To Ground,Body,OBD-II Standard
B1937,Air Bag Passenger Pressure Switch C ircuit Open,Body,OBD-II Standard
B1938,Air Bag Passenger Circuit Short To Ground,Body,OBD-II Standard
B1939,Air Bag Passenger Pressure Switch Circuit Short To Ground,Body,OBD-II Standard
B1941,Air Bag Crash Sensor #1 Feed/Return Circuit Open,Body,OBD-II Standard
B1942,Air Bag Crash Sensor #2 Feed/Return Circuit Open,Body,OBD-II Standard
B1943,Air Bag Crash Sensor #1 Ground Circuit Short To Ground,Body,OBD-II Standard
B1944,Air Bag Crash Sensor #1 Ground Circuit Open,Body,OBD-II Standard
B1945,Air Bag Crash Sensor #2 Ground Circuit Open,Body,OBD-II Standard
B1946,Climate Control A/C Post Evaporator Sensor Circuit Failure,Body,OBD-II Standard
B1947,Climate Control A/C Post Evaporator Sensor Circuit Short To,Body,OBD-II Standard
B1948,Climate Control Water Temperature Sensor Circuit Failure,Body,OBD-II Standard
B1949,Climate Control Water Temperature Sensor Circuit Short To,Body,OBD-II Standard
B1950,Seat Rear Up/Down Potentiometer Feedback Circuit Failure,Body,OBD-II Standard
B1951,Seat Rear Up/Down Potentiometer Feedback Circuit Open,Body,OBD-II Standard
B1952,Seat Rear Up/Down Potentiometer Feedback Circuit Short To,Body,OBD-II Standard
B1953,Seat Rear Up/Down Potentiometer Feedback Circuit Short To,Body,OBD-II Standard
B1954,Seat Front Up/Down Potentiometer Feed back Circuit Failure,Body,OBD-II Standard
B1955,Seat Front Up/Down Potentiometer Feedback Circuit Open,Body,OBD-II Standard
B1956,Seat Front Up/Down Potentiometer Feedback Circuit Short To,Body,OBD-II Standard
B1957,Seat Front Up/Down Potentiometer Feedback Circuit Short To,Body,OBD-II Standard
B1958,Seat Reclin e Forward/Backward Potentiometer Feedback,Body,OBD-II Standard
B1959,Seat Recline Forward/Backward Potentiometer Feedback,Body,OBD-II Standard
B1960,Seat Recline Forward/Backward Potentiometer Feedback,Body,OBD-II Standard
B1961,Seat Recline Forward/Backwa rd Potentiometer Feedback,Body,OBD-II Standard
B1962,Seat Horizontal Forward/Rearward Potentiometer Feedback,Body,OBD-II Standard
B1963,Seat Horizontal Forward/Rearward Potentiometer Feedback,Body,OBD-II Standard
B1964,Seat Horizontal Forward/Rearward Poten tiometer Feedback,Body,OBD-II Standard
B1965,Seat Horizontal Forward/Rearward Potentiometer Feedback,Body,OBD-II Standard
B1966,A/C Post Heater Sensor Circuit Failure,Body,OBD-II Standard
B1967,A/C Post Heater Sensor Circuit Short To Ground,Body,OBD-II Standard
B1968,A/C Water P ump Detection Circuit Failure,Body,OBD-II Standard
B1969,A/C Clutch Magnetic Control Circuit Failure,Body,OBD-II Standard
B1970,Passenger Seatback Forward Switch Circuit Short to Ground,Body,OBD-II Standard
B1971,Passenger Seatback Rearward Switch Circuit Short to Ground,Body,OBD-II Standard
B1972,Passenger Rear Seat Up Switch Circuit Short to Battery,Body,OBD-II Standard
B1973,Passenger Rear Seat Down Switch Circuit Short to Battery,Body,OBD-II Standard
B1974,Passenger's Seat Recline Forward Switch Circuit Short to,Body,OBD-II Standard
B1975,Passenger's Seat Recline Back Switch Circuit Short to Battery,Body,OBD-II Standard
B1976,Passenger' s Seat Forward Switch Circuit Short to Battery,Body,OBD-II Standard
B1977,Passenger's Front Seat Up Switch Circuit Short to Battery,Body,OBD-II Standard
B1978,Passenger's Front Seat Down Switch Circuit Short to Battery,Body,OBD-II Standard
B1979,Passenger Seat Rearward Switch Circuit Short to Battery,Body,OBD-II Standard
B1980,Bulb-Outage Condition Detected,Body,OBD-II Standard
B1981,Memory Off Switch Circuit Short to Battery,Body,OBD-II Standard
B1982,Driver's Door Unlock Relay Circuit Failure,Body,OBD-II Standard
B1983,Driver's Door Unlock Relay Circuit Short to Battery,Body,OBD-II Standard
B1984,Seat Switch Lumbar Inflate Circuit Failure,Body,OBD-II Standard
B1985,Seat Switch Lumbar Deflate Circuit Failure,Body,OBD-II Standard
B1986,Driver's Seat Seatback Autoglide Rearward Switch Circuit,Body,OBD-II Standard
B1987,Pedal Forward / Rearward Motor Stalled,Body,OBD-II Standard
B1988,Pedal Position Forward Switch Circuit Short to Battery,Body,OBD-II Standard
B1989,Pedal Position Rearward Switch Circuit Short to Battery,Body,OBD-II Standard
B1990,Pedal Forward / Rearward Potentiometer Feedback Circuit,Body,OBD-II Standard
B1991,Pedal Forward / Rearward Potentiometer Feedback Circuit,Body,OBD-II Standard
B1992,"Driver Side, Side mount Airbag Circuit Short to Vb att",Body,OBD-II Standard
B1993,"Driver Sid, Side mount Airbag Circuit Short to Ground",Body,OBD-II Standard
B1994,"Driver Sid, Side mount Airbag Circuit Open",Body,OBD-II Standard
B1995,"Driver Sid, Side mount Airbag Low resistance on Squib",Body,OBD-II Standard
B1996,"Passenger Sid, Side mount Airbag Circuit Short to Vbatt",Body,OBD-II Standard
B1997,"Passenger Sid, Side mount Airbag Circuit Short to Ground",Body,OBD-II Standard
B1998,"Passenger Sid, Side mount Airbag Circuit Open",Body,OBD-II Standard
B1999,"Passenger Sid, Side mount Airbag Low resistance on Squib",Body,OBD-II Standard
B2100,Door Driver Key Cylinder Switch Failure,Body,OBD-II Standard
B2101,Head Rest Switch Cir cuit Failure,Body,OBD-II Standard
B2102,Antenna Circuit Short to Ground,Body,OBD-II Standard
B2103,Antenna Not Connected,Body,OBD-II Standard
B2104,Door Passenger Key Cylinder Switch Failure,Body,OBD-II Standard
B2105,Throttle Position Input Out of Range Low,Body,OBD-II Standard
B2106,Throttle Position Input Out of Range High,Body,OBD-II Standard
B2107,Front Wip er Motor Relay Circuit Short to Vbatt,Body,OBD-II Standard
B2108,Trunk Key Cylinder Switch Failure,Body,OBD-II Standard
B2109,Heated Wind Shield Relay Short to Vbatt (changed from Failure,Body,OBD-II Standard
B2110,Front Wiper Motor Relay Circuit Open (changed from Failure,Body,OBD-II Standard
B2111,All Door Lo ck Input Short to Ground,Body,OBD-II Standard
B2112,Door Driver Set Switch Stuck Failure,Body,OBD-II Standard
B2113,Heated Windshield Input Short to Ground,Body,OBD-II Standard
B2114,Front Washer Input Short to Ground,Body,OBD-II Standard
B2115,Rear Washer Input Short to Ground,Body,OBD-II Standard
B2116,Door Driver Reset Switch Stuck Failure,Body,OBD-II Standard
B2117,"Driver Side, Side mount Airbag Low capacitance on Squib",Body,OBD-II Standard
B2118,"Passenger Sid, Side mount Airbag Low capacitance on Squib",Body,OBD-II Standard
B2119,Compressor Failure,Body,OBD-II Standard
B2120,Door Passenger Set Switch Stuck Failure,Body,OBD-II Standard
B2122,Driver Side Satellite Communication Cir cuit Short to Ground,Body,OBD-II Standard
B2123,Passenger Side Satellite Communication Circuit Short to,Body,OBD-II Standard
B2124,Door Passenger Reset Switch Stuck Failure,Body,OBD-II Standard
B2128,Central Lock Motor Failure,Body,OBD-II Standard
B2129,Central Lock Feedback Failure,Body,OBD-II Standard
B2130,Double Lock Timeout Failure,Body,OBD-II Standard
B2131,Double Lock Feedback Failure,Body,OBD-II Standard
B2132,Dimmer switch Circuit Short to Gnd,Body,OBD-II Standard
B2133,Brake Motor Warning lamp Circuit Failure,Body,OBD-II Standard
B2134,Brake Motor Warning lamp Circuit Short to Vbatt,Body,OBD-II Standard
B2135,Park Brake Applied Warning Lamp Circuit Failure,Body,OBD-II Standard
B2136,Park Brake Applied Warning Lamp Circuit Short To Battery,Body,OBD-II Standard
B2139,Data Mismatch (receive data does not match what was,Body,OBD-II Standard
B2141,NVM Configuration Failure,Body,OBD-II Standard
B2142,NVM TIC Failure,Body,OBD-II Standard
B2143,NVM Memory Failure,Body,OBD-II Standard
B2144,NVM Alarm Data Failure,Body,OBD-II Standard
B2145,NVM RF HR Failure,Body,OBD-II Standard
B2146,Seat Recline Motor Position Out of Range,Body,OBD-II Standard
B2148,PWM Input Circuit Failure,Body,OBD-II Standard
B2149,Seat Front Vertical Motor Position Out of Range,Body,OBD-II Standard
B2150,Power Supply #1 Circuit Short to Ground,Body,OBD-II Standard
B2151,Power Supply #2 Circuit Short to Groun d,Body,OBD-II Standard
B2152,Seat Rear Vertical Motor Position Out of Range,Body,OBD-II Standard
B2153,Rear Echo Sensor Circuit Failure,Body,OBD-II Standard
B2154,Front Echo Sensor Circuit Failure,Body,OBD-II Standard
B2155,Seat Horizontal Motor Position Out of Range,Body,OBD-II Standard
B2156,Rear Doppler Sensor Circuit Failure,Body,OBD-II Standard
B2157,Front Doppler Sensor Circuit Failure,Body,OBD-II Standard
B2158,Seat Recline Motor Memory Position Out of Range,Body,OBD-II Standard
B2159,Memory #1 output Short to Ground,Body,OBD-II Standard
B2160,Memory #1 output Short to VBatt,Body,OBD-II Standard
B2161,Seat Front Vertical Motor Memory Position Out of Range,Body,OBD-II Standard
B2162,Data Mismatc h #2 (receive data does not match what was,Body,OBD-II Standard
B2163,Clutch Position Fault,Body,OBD-II Standard
B2164,Seat Rear Vertical Motor Memory Position Out of Range,Body,OBD-II Standard
B2165,Gear shift position Fault,Body,OBD-II Standard
B2166,Gear select position Fault,Body,OBD-II Standard
B2167,Seat Horizontal Motor Memory Position Out of Range,Body,OBD-II Standard
B2168,Unable to confirm Unlock Condition,Body,OBD-II Standard
B2169,Unable to confirm lock Condition,Body,OBD-II Standard
B2170,Steering Column Lock Switch Circuit Failure,Body,OBD-II Standard
B2172,Inertia Switch input Circuit Open,Body,OBD-II Standard
B2174,Window Driver Rear Remote Up Switch Short t o Battery,Body,OBD-II Standard
B2175,A/C Request Signal Circuit Short to Ground,Body,OBD-II Standard
B2176,Overdrive switch circuit short to Vbatt,Body,OBD-II Standard
B2177,Interior Scanning Sensor Circuit Failure,Body,OBD-II Standard
B2178,Window Driver Rear Remote Down Switch Short to Battery,Body,OBD-II Standard
B2179,Front Wiper Select Swi tch A Short to Ground,Body,OBD-II Standard
B2180,Front Wiper Select Switch B Short to Ground,Body,OBD-II Standard
B2181,Front Wiper Select Switch C Short to Ground,Body,OBD-II Standard
B2182,Window Passenger Front Remote Up Switch Short to Battery,Body,OBD-II Standard
B2183,Front Wiper Select Switch H Short to Ground,Body,OBD-II Standard
B2184,Front Wiper Select Switch W Short to Ground,Body,OBD-II Standard
B2185,Rear Wiper Select Switch D Short to Ground,Body,OBD-II Standard
B2186,Window Passenger Front Remote Down Switch Short to,Body,OBD-II Standard
B2187,Rear Wiper Select Switch B Short to Ground,Body,OBD-II Standard
B2188,Rear Wiper Select Switch E Short to Ground,Body,OBD-II Standard
B2190,Window Passenger Rear Remote Up Switch Short to Battery,Body,OBD-II Standard
B2194,Window Passenger Rear Remote Down Switch Short to Battery,Body,OBD-II Standard
B2195,Driver Window Up / Down Power Circuit Short to Ground,Body,OBD-II Standard
B2196,Passenger Window Up / Do wn Power Circuit Short to Ground,Body,OBD-II Standard
B2197,TV Module Error,Body,OBD-II Standard
B2198,TrafficMaster Module Error,Body,OBD-II Standard
B2199,VICS Module Error,Body,OBD-II Standard
B2200,No Communication to TV Module (No Fitting of TV),Body,OBD-II Standard
B2201,No Communication With Traffic MasterModule,Body,OBD-II Standard
B2202,No Communication to VICS Module (No Fitting of VICS),Body,OBD-II Standard
B2203,CD-ROM Error,Body,OBD-II Standard
B2204,GPS Antenna Connection Open or Short,Body,OBD-II Standard
B2205,GPS Receiver Error,Body,OBD-II Standard
B2206,Gyroscope Error,Body,OBD-II Standard
B2207,ECU ROM Checksum Error,Body,OBD-II Standard
B2208,Communication Link to Display and Switch Module Error,Body,OBD-II Standard
B2209,Interior Lamp Override Switch Open Circuit,Body,OBD-II Standard
B2210,Interior Lamp Override Switch Short to Ground,Body,OBD-II Standard
B2211,Low Coolant Lamp Output Circuit Short to Battery,Body,OBD-II Standard
B2214,Window Passenger Front Up Switch Short to Battery,Body,OBD-II Standard
B2215,Window Passenger Front Dow n Switch Short to Battery,Body,OBD-II Standard
B2219,Window Driver Front Current Feedback Exceeded,Body,OBD-II Standard
B2220,Window Driver Rear Current Feedback Exceeded,Body,OBD-II Standard
B2221,Window Passenger Front Current Feedback Exceeded,Body,OBD-II Standard
B2222,Window Passenger Rear Current Feedback Exceeded,Body,OBD-II Standard
B2223,Mirror Driver Drive Circuit Failure,Body,OBD-II Standard
B2224,Mirror Passenger Drive Circuit Failure,Body,OBD-II Standard
B2225,Front Crash Sensor Mount Fault,Body,OBD-II Standard
B2226,Front Crash Sensor Internal Fault,Body,OBD-II Standard
B2227,Front Crash Sensor Driver Communications Fault,Body,OBD-II Standard
B2228,Air Bag Driver Circui t Short to Ground -Loop #2,Body,OBD-II Standard
B2229,Air Bag Passenger Circuit Short to Ground -Loop #2,Body,OBD-II Standard
B2230,Air Bag Driver Circuit Short to Battery -Loop #2,Body,OBD-II Standard
B2231,Air Bag Passenger Circuit Short to Battery -Loop #2,Body,OBD-II Standard
B2232,Air Bag Driver Circuit Open -Loop #2,Body,OBD-II Standard
B2233,Air Bag passenger Circuit Open -Loop #2,Body,OBD-II Standard
B2234,Air Bag Driver Inflator Circuit Resistance Low on Squib -Loop,Body,OBD-II Standard
B2235,Air Bag Passenger Inflator Circuit,Body,OBD-II Standard
B2236,Weak or Defected Electric Vehicle Battery Module Fault,Body,OBD-II Standard
B2237,Vehicle Signa l indicating Park While VSS Present,Body,OBD-II Standard
B2238,Power Cable For Power Sliding Door Broken,Body,OBD-II Standard
B2239,Rear Cargo Door Set Switch Stuck (Short to Ground),Body,OBD-II Standard
B2240,Rear Cargo Door Reset Switch Stuck (Short to Ground),Body,OBD-II Standard
B2241,Rear Cargo Door Lock Circuit Short to Ground,Body,OBD-II Standard
B2242,Rear Cargo Door Unlock Circuit Open,Body,OBD-II Standard
B2243,Driver Rear Door Ajar Circuit Open,Body,OBD-II Standard
B2244,Driver Sliding Door Ajar Circuit Short to GND,Body,OBD-II Standard
B2245,Passenger Rear Door Ajar Circuit Open,Body,OBD-II Standard
B2246,Passenger Sliding Door Ajar Circuit Short to GND,Body,OBD-II Standard
B2247,EV Battery Pack Temperature Fault,Body,OBD-II Standard
B2248,Heated Windshield Relay Coil Circuit Failure,Body,OBD-II Standard
B2249,Head Lamp Relay Coil Short to Battery,Body,OBD-II Standard
B2250,All Doors Unlock Relay Circuit Failure,Body,OBD-II Standard
B2251,Parklamp Output Relay Driver Circuit Failure,Body,OBD-II Standard
B2252,Parklamp Output Relay Dirver Short to Battery,Body,OBD-II Standard
B2300,Seat Driver Memory Position Error,Body,OBD-II Standard
B2301,Seat Passenger Memory Position Error,Body,OBD-II Standard
B2302,Seat Headrest Feedback Potentiometer Circuit Failure,Body,OBD-II Standard
B2303,Seat Headrest Feedback Potentiometer Circuit Open,Body,OBD-II Standard
B2304,Seat Headrest Feedback Potentiometer Circuit Short to Battery,Body,OBD-II Standard
B2305,Seat Headrest Feedback Potentiometer Circuit Short to Ground,Body,OBD-II Standard
B2306,Seat Headrest Motor Stalled,Body,OBD-II Standard
B2310,Mirror Driver Memory Position Error,Body,OBD-II Standard
B2311,Mirror Passenger Memory P osition Error,Body,OBD-II Standard
B2312,Mirror Passenger Horizontal Feedback Potentiometer Circuit,Body,OBD-II Standard
B2313,Mirror Passenger Horizontal Feedback Potentiometer Circuit,Body,OBD-II Standard
B2314,Mirror Passenger Horizontal Feedback Potentiometer Circuit,Body,OBD-II Standard
B2315,Mirror Passenger Horizontal Feedback Potentiometer Circuit,Body,OBD-II Standard
B2316,Mirror Passenger Vertical Feedback Potentiometer Circuit,Body,OBD-II Standard
B2317,Mirror Passenger Vertical Feedback Potentiometer Circuit Open,Body,OBD-II Standard
B2318,Mirror Passenger Vertical Feedback Potentiometer Circuit Short,Body,OBD-II Standard
B2319,Mirror Passenger Vertical Feedback Potentiometer Circuit Short,Body,OBD-II Standard
B2320,Mirror Driver Horizontal Feedback Potentiometer Circuit Failure,Body,OBD-II Standard
B2321,Mirror Driver Horizontal Feedback Potentiome ter Circuit Open,Body,OBD-II Standard
B2322,Mirror Driver Horizontal Feedback Potentiometer Circuit Short,Body,OBD-II Standard
B2323,Mirror Driver Horizontal Feedback Potentiometer Circuit Short,Body,OBD-II Standard
B2324,Mirror Driver Vertical Feedback Potentiometer Circuit Failure,Body,OBD-II Standard
B2325,Mirror Driver Vertical Feedback Potentiometer Circuit Open,Body,OBD-II Standard
B2326,Mirror Driver Vertical Feedback Potentiometer Circuit Short to,Body,OBD-II Standard
B2327,Mirror Driver Vertical Feedback Potentiometer Circuit Short to,Body,OBD-II Standard
B2328,Column Reach Feedback Pot entiometer Circuit Failure,Body,OBD-II Standard
B2329,Column Reach Feedback Potentiometer Circuit Open,Body,OBD-II Standard
B2330,Column Reach Feedback Potentiometer Circuit Short to Battery,Body,OBD-II Standard
B2331,Column Reach Feedback Potentiometer Circuit Short to Ground,Body,OBD-II Standard
B2332,Column Tilt Feedback Po tentiometer Circuit Failure,Body,OBD-II Standard
B2333,Column Tilt Feedback Potentiometer Circuit Open,Body,OBD-II Standard
B2334,Column Tilt Feedback Potentiometer Circuit Short to Battery,Body,OBD-II Standard
B2335,Column Tilt Feedback Potentiometer Circuit Short to Ground,Body,OBD-II Standard
B2336,Mirror Switch Assembly Ci rcuit Failure,Body,OBD-II Standard
B2337,Mirror Switch Assembly Circuit Open,Body,OBD-II Standard
B2338,Mirror Switch Assembly Circuit Short to Battery,Body,OBD-II Standard
B2339,Mirror Switch Assembly Circuit Short to Ground,Body,OBD-II Standard
B2340,Column Reach Motor Stalled,Body,OBD-II Standard
B2341,Column Tilt Motor Stalled,Body,OBD-II Standard
B2342,SeatSwitch Reference Voltage Positive Common Open Circuit,Body,OBD-II Standard
B2343,Seat Switch Reference Voltage Positive Common Supply Low,Body,OBD-II Standard
B2344,Seat Switch Reference Voltage Positive Common Supply,Body,OBD-II Standard
B2345,Seat Switch Reference Voltage Negative Com mon Open Circuit,Body,OBD-II Standard
B2346,Mirror Switch Reference Voltage Positive Common Open Circuit,Body,OBD-II Standard
B2347,Mirror Switch Reference Voltage Positive Common Supply Low,Body,OBD-II Standard
B2348,Mirror Switch Reference Voltage Positive Common Supply,Body,OBD-II Standard
B2349,Mirror Switch Reference Voltage Negative Common Open,Body,OBD-II Standard
B2350,Steering Column Switch Circuit Short to Battery,Body,OBD-II Standard
B2351,Steering Column Switch Circuit Failure,Body,OBD-II Standard
B2352,Driver Memory Power Switch Indicator Circuit Short to Battery,Body,OBD-II Standard
B2353,Driver Mirror Po wer Driver Circuit Short Ground,Body,OBD-II Standard
B2354,Driver Mirror Horizontal / Vertical Feedback Potentiometer,Body,OBD-II Standard
B2355,Passenger Mirror Horizontal / Vertical Feedback Potentiometer,Body,OBD-II Standard
B2357,Driver Window Down Current Sense Low Circuit Failu re,Body,OBD-II Standard
B2362,Remote Open/Close signal Circuit Short to Ground,Body,OBD-II Standard
B2363,Optical Sensor System Failure,Body,OBD-II Standard
B2364,Fuel Filler Door Circuit Open,Body,OBD-II Standard
B2365,B-pillar Power Sliding Door Open/Close Switch Input Ckt Short,Body,OBD-II Standard
B2366,IP Power Sliding Door Open/Clo se switch Ckt Short to Gnd,Body,OBD-II Standard
B2367,Power Sliding Door Override Switch Input Ckt Short to Gnd,Body,OBD-II Standard
B2368,Steering Column Switch Circuit Out of Range,Body,OBD-II Standard
B2369,Chime OUTPUT Request Ckt Short to Ground,Body,OBD-II Standard
B2373,LED #1 Circuit Short to Battery,Body,OBD-II Standard
B2374,Power Sli ding Detent (Latch) Circuit Failure,Body,OBD-II Standard
B2380,Heater Coolant Temp sensor circuit Short to GND,Body,OBD-II Standard
B2381,Heater Coolant Temp sensor circuit Open,Body,OBD-II Standard
B2384,Audio Reverse Aid Mute Input Ckt Failure,Body,OBD-II Standard
B2385,Audio Navigation Mute Input Ckt Failure,Body,OBD-II Standard
B2401,Audio Tape Deck Mechanism Fault,Body,OBD-II Standard
B2402,Audio CD/DJ Thermal Shutdown Fault,Body,OBD-II Standard
B2403,Audio CD/DJ Internal Fault,Body,OBD-II Standard
B2404,Audio Steering Wheel Switch Circuit Fault,Body,OBD-II Standard
B2405,Audio Single -Disc CD Player Thermal Shutdown Fault,Body,OBD-II Standard
B2406,Audio Single -Disc CD Player In ternal Fault,Body,OBD-II Standard
B2416,Climate Control Recirculation Actuator Out of Limits,Body,OBD-II Standard
B2425,Remote Keyless Entry Out of Synchronization,Body,OBD-II Standard
B2426,Passenger Solar Radiation Sensor Circuit Open,Body,OBD-II Standard
B2427,Passenger Solar Radiation Sensor Circuit Short to Ground,Body,OBD-II Standard
B2428,A/C Post Heater Sensor #2 Circuit Failure,Body,OBD-II Standard
B2429,A/C Post Heater Sensor #2 Circuit Short to Ground,Body,OBD-II Standard
B2431,Transponder Programming Failed,Body,OBD-II Standard
B2432,Drivers Seat Belt Buckle Switch Circuit Open,Body,OBD-II Standard
B2433,Drivers Seat Belt Buckle Switch Circuit Short to B attery,Body,OBD-II Standard
B2434,Drivers Seat Belt Buckle Switch Circuit Short to Ground,Body,OBD-II Standard
B2435,Drivers Seat Belt Buckle Switch Resistance out of Range,Body,OBD-II Standard
